,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
152,143.7,144.74,141.0,141.28,130.260443524,7101368,0.0000,1.0,2021-04-22
153,138.06,143.73,137.71,143.55,132.35338808,11909005,0.0000,1.0,2021-04-21
154,137.07,139.77,136.7,138.16,127.383797263,15480579,0.0000,1.0,2021-04-20
155,133.6,133.815,132.58,133.12,122.736907149,8198582,0.0000,1.0,2021-04-19
156,133.0,134.1,132.95,133.59,123.170248092,5291756,0.0000,1.0,2021-04-16
157,133.28,133.87,132.22,132.58,122.239026065,3883955,0.0000,1.0,2021-04-15
158,131.305,132.78,130.52,132.63,122.285126165,5868049,0.0000,1.0,2021-04-14
159,133.0,133.62,130.38,131.18,120.948223255,8033530,0.0000,1.0,2021-04-13
160,135.02,135.37,133.85,134.59,124.092250099,3753959,0.0000,1.0,2021-04-12
161,134.87,135.74,134.71,135.73,125.143332386,3023916,0.0000,1.0,2021-04-09
162,134.57,135.6299,134.16,135.12,124.580911162,4087228,0.0000,1.0,2021-04-08
163,133.84,134.94,133.78,134.93,124.405730781,2976136,0.0000,1.0,2021-04-07
164,135.58,135.64,134.09,134.22,123.751109356,3620964,0.0000,1.0,2021-04-06
165,133.64,136.69,133.4,135.93,125.327732788,5471616,0.0000,1.0,2021-04-05
166,133.76,133.93,132.27,133.23,122.838327369,4074161,0.0000,1.0,2021-04-01
167,134.54,134.71,132.71,133.26,122.865987429,4945315,0.0000,1.0,2021-03-31
168,135.86,136.27,134.02,134.72,124.212110359,4790366,0.0000,1.0,2021-03-30
169,135.98,137.07,135.51,135.86,125.263192647,4622664,0.0000,1.0,2021-03-29
170,133.29,136.48,133.12,136.38,125.742633691,5567592,0.0000,1.0,2021-03-26
171,130.33,133.24,129.77,133.07,122.690807048,5553966,0.0000,1.0,2021-03-25
172,130.95,132.11,130.57,130.62,120.431902131,4005027,0.0000,1.0,2021-03-24
173,130.44,131.56,129.8,130.46,120.28438181,4356359,0.0000,1.0,2021-03-23
174,128.5,130.72,127.89,130.55,120.367361991,4164914,0.0000,1.0,2021-03-22
175,130.02,130.44,128.53,128.9,118.84605868,9844983,0.0000,1.0,2021-03-19
176,128.94,130.995,127.79,130.06,119.915581008,5835669,0.0000,1.0,2021-03-18
177,128.46,129.49,127.49,129.03,118.965918941,4291351,0.0000,1.0,2021-03-17
178,128.28,128.52,127.34,128.24,118.237537355,4653178,0.0000,1.0,2021-03-16
179,127.77,128.75,127.5401,128.58,118.551018038,3421281,0.0000,1.0,2021-03-15
180,127.19,127.68,126.61,127.61,117.656676091,4010100,0.0000,1.0,2021-03-12
181,128.09,128.64,126.78,127.14,117.223335148,5146937,0.0000,1.0,2021-03-11
182,125.05,128.24,124.61,127.87,117.896396613,7247807,0.0000,1.0,2021-03-10
183,125.4,126.43,124.16,124.18,114.494209208,5609029,0.0000,1.0,2021-03-09
184,122.99,126.85,122.88,124.81,115.075070472,7239191,0.0000,1.0,2021-03-08
185,120.64,123.75,120.25,122.83,113.249506498,6949265,0.0000,1.0,2021-03-05
186,122.0,123.22,118.755,120.11,110.74166104,8068492,0.0000,1.0,2021-03-04
187,120.5,122.634,119.98,122.36,112.816165555,7404269,0.0000,1.0,2021-03-03
188,120.74,121.9,120.26,120.33,110.944501481,4524299,0.0000,1.0,2021-03-02
189,120.35,122.32,119.8649,120.74,111.322522304,5715767,0.0000,1.0,2021-03-01
190,122.25,122.25,118.88,118.93,109.653698672,8868848,0.0000,1.0,2021-02-26
191,123.37,124.35,122.335,122.47,112.917585776,5672671,0.0000,1.0,2021-02-25
192,120.8,123.49,120.52,123.21,113.599867261,5819983,0.0000,1.0,2021-02-24
193,120.92,121.35,119.8,120.71,111.294862244,4531464,0.0000,1.0,2021-02-23
194,118.5,121.125,118.44,120.86,111.433162545,5838841,0.0000,1.0,2021-02-22
195,120.75,120.76,118.38,118.99,109.709018792,6578741,0.0000,1.0,2021-02-19
196,120.5,120.94,119.7,120.73,111.313302284,5399145,0.0000,1.0,2021-02-18
197,119.27,120.56,119.02,119.97,110.612580759,3949876,0.0000,1.0,2021-02-17
198,120.15,120.6,119.36,120.07,110.704780959,6639790,0.0000,1.0,2021-02-16
199,121.0,121.36,120.09,120.8,111.377842424,3871195,0.0000,1.0,2021-02-12
200,122.0,122.205,120.63,120.91,111.479262645,5381556,0.0000,1.0,2021-02-11
201,123.03,123.41,121.2138,122.24,112.705525314,4831858,0.0000,1.0,2021-02-10
202,121.9,122.5953,121.05,122.1,112.576445033,4661655,1.6300,1.0,2021-02-09
203,122.62,123.9767,122.4,123.61,112.46726235,5887999,0.0000,1.0,2021-02-08
204,121.0,121.81,120.52,121.79,110.811324987,4565727,0.0000,1.0,2021-02-05
205,119.91,121.1,118.87,121.02,110.110736102,4562124,0.0000,1.0,2021-02-04
206,119.04,119.8,118.12,119.12,108.382010283,6715366,0.0000,1.0,2021-02-03
